
addr data
=========
0xB7 0xD2 
0x03 0xFF 
0x0F 0x00 
0x10 0x80 
0x11 0x80 
0x12 0x80 
0x10 0x4C 0x4F 0x6F 0x80 0x80 0x80 0x80 0x80 0x2A 0x00 0x00 0x1B 0x00 0x0C 0xD0 0x00 0x00 0x10 0x02 0xA3 0x00 0x0C 0xD0 0x00 0x01 0x10 0x00 0x01 0x0C 0x00 0x00 0x00 0x00 0x00 0x00 0x01 0x13 0xE6 0x00 0x00 0x00 0x00 0x00 0x01 0x0C 0x00 
0xB1 0xAC 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xFF 
0x10 0x80 
0x11 0x80 
0x12 0x80 
0x10 0x4C 0x0F 0x6C 0x80 0x80 0x80 0xC0 0x80 0x2A 0x00 0x00 0x01 0x00 0x0D 0x00 0x00 0x00 0x00 0x02 0xA3 0x00 0x0B 0x54 0x00 0x01 0x84 0x00 0x01 0x00 0x07 0x00 0x00 0x00 0x00 0x00 0x01 0x13 0xF2 0x80 0x00 0x00 0x00 0x00 0x01 0x00 0x06 
0xB1 0xAC 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xFF 
0x10 0x80 
0x11 0x80 
0x12 0x80 
0x10 0x2C 0x4F 0x6C 0x80 0x80 0x80 0xC0 0x80 0x2A 0x00 0x00 0x01 0x00 0x0A 0x00 0x00 0x00 0x00 0x00 0x32 0x00 0x0D 0x54 0x00 0x00 0x18 0x08 0xFC 0x00 0x06 0xFF 0x00 0x04 0x7C 0x00 0x01 0x13 0x28 0x00 0x00 0x00 0x00 0x00 0x01 0x00 0x07 
0xB1 0xAC 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xFF 
0x10 0x80 
0x11 0x80 
0x12 0x80 
0x10 0x2C 0x4F 0x6C 0x80 0x80 0x80 0xC0 0x80 0x2A 0x00 0x00 0x01 0x00 0x0C 0x00 0x00 0x00 0x00 0x00 0xE1 0x00 0x0D 0x67 0x00 0x00 0x79 0x01 0x45 0x00 0x05 0xFF 0x00 0x00 0xC5 0x00 0x01 0x13 0xAF 0x00 0x00 0x00 0x00 0x00 0x01 0x00 0x06 
0xB1 0xAC 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xFF 
0x10 0x80 
0x11 0x80 
0x12 0x80 
0x10 0x4C 0x4F 0x6F 0x80 0x80 0x80 0x80 0x80 0x2A 0x00 0x00 0x1B 0x00 0x0C 0xD0 0x00 0x00 0x10 0x02 0xA3 0x00 0x0C 0xD0 0x00 0x01 0x10 0x00 0x01 0x0C 0x00 0x00 0x00 0x00 0x00 0x00 0x01 0x13 0xE6 0x00 0x00 0x00 0x00 0x00 0x01 0x0C 0x00 
0xB1 0xAC 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xFD 
0xB7 0xD2 
0x03 0xFF 
0x0F 0x00 
0x10 0x80 
0x11 0x80 
0x12 0x80 
0x10 0x4C 0x4F 0x6F 0x80 0x80 0x80 0x80 0x80 0x2A 0x00 0x00 0x1B 0x00 0x0C 0xD0 0x00 0x00 0x10 0x02 0xA3 0x00 0x0C 0xD0 0x00 0x01 0x10 0x00 0x01 0x0C 0x00 0x00 0x00 0x00 0x00 0x00 0x01 0x13 0xE6 0x00 0x00 0x00 0x00 0x00 0x01 0x0C 0x00 
0xB1 0xAC 
0x03 0xFD 
0x03 0xFF 
0x10 0x80 
0x11 0x80 
0x12 0x80 
0x10 0x4C 0x4F 0x6F 0x80 0x80 0x80 0x80 0x80 0x2A 0x00 0x00 0x1B 0x00 0x0C 0xD0 0x00 0x00 0x10 0x02 0xA3 0x00 0x0C 0xD0 0x00 0x01 0x10 0x00 0x01 0x0C 0x00 0x00 0x00 0x00 0x00 0x00 0x01 0x13 0xE6 0x00 0x00 0x00 0x00 0x00 0x01 0x0C 0x00 
0xB1 0xAC 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xF8 
0x03 0xFD 
0x03 0xFD 
